n - p,1,3,4,5,8,10,14,16,18,20,22,24,25,30,
n=1000,0.000230687,0.000266018,0.000326088,0.000407649,0.000548385,0.000752133,0.000901202,0.00117361,0.00164865,0.00155674,0.350283,0.599203,0.780126,1.18003,
n=10000,0.000827643,0.000650639,0.000596972,0.000590161,0.000677454,0.000735733,0.00101901,0.00148465,0.00156235,0.280301,0.25584,0.649281,0.659883,0.850075,
n=15000,0.00119592,0.000817717,0.000840407,0.000862682,0.00085426,0.000955959,0.00129577,0.00145473,0.00164521,0.045177,0.33029,0.490166,0.480157,0.883073,
n=35000,0.00281689,0.00220312,0.00170077,0.00179793,0.00131139,0.00135935,0.00205098,0.00182362,0.00211918,0.00384169,0.00833097,0.577122,0.45612,1.08984,
n=50000,0.0040218,0.00260745,0.00194297,0.00173662,0.0019387,0.00196715,0.00196028,0.00199601,0.00261869,0.130374,0.297599,0.160213,0.409506,1.11001,
n=75000,0.00619235,0.00542193,0.00339568,0.0034428,0.00241363,0.00273594,0.00288885,0.0041855,0.0251952,0.0722343,0.00460997,0.66156,0.800278,1.37986,
n=100000,0.00839281,0.00643636,0.00507988,0.00514617,0.00315023,0.00303381,0.00265052,0.00318789,0.0036287,0.173509,0.62831,0.869267,0.689976,1.28999,
n=200000,0.0174784,0.016439,0.00913236,0.0135743,0.0102212,0.00716185,0.00583273,0.010101,0.0059893,0.0627743,0.15456,0.542241,1.0242,1.60991,
n=250000,0.0221531,0.0131864,0.0132299,0.0120483,0.00680685,0.00812553,0.00926704,0.00832743,0.00579178,0.00760043,0.320133,0.155457,0.460801,1.7309,
n=500000,0.0466902,0.0249971,0.0302174,0.0204046,0.0129069,0.014896,0.0119286,0.0110554,0.0119788,0.0117771,0.0146301,0.264765,0.839876,1.23912,
n=1000000,0.0971297,0.0859478,0.0669271,0.0579636,0.0302759,0.0288606,0.0234749,0.0231528,0.0238259,0.0243413,0.310042,0.34732,0.348488,2.01007,
n=2000000,0.20289,0.122447,0.117762,0.0769596,0.0949679,0.0584983,0.0473473,0.056601,0.0451876,0.0717055,0.0434909,0.344731,0.590432,1.75714,
n=3000000,,0.131155,0.114156,0.094871,0.0878115,0.0653058,0.0647036,0.0707313,0.0718727,0.0584604,0.0966688,0.687584,0.333932,1.48043,
n=5000000,,0.319159,0.263823,0.27548,0.14022,0.12651,0.136747,0.14366,0.154839,0.152661,0.154723,0.345465,0.680098,2.15997,
n=10000000,,,,,0.275455,0.275661,0.284691,0.263381,0.267194,0.366842,0.314914,0.759001,0.719569,2.27036,
